报纸名称,paperid,刊号,刊期,出版地,订阅开始,订阅结束
河北日报,n.D130100hebeirb,CN13-0001,日刊,河北,2007-01-01,2026-12-31
石家庄日报,n.D130100sjzrb,CN13-0003,日刊,河北,2007-01-01,2026-12-31
邯郸日报,n.D130400handrb,CN13-0005,一周多刊,河北,2007-01-01,2026-12-31
邢台日报,n.D130500xtrb,CN13-0007,一周多刊,河北,2007-01-01,2026-12-31
保定日报,n.D130600bdrb,CN13-0009,日刊,河北,2007-01-01,2026-12-31
承德日报,n.D130800chengdrb,CN13-0018,日刊,河北,2007-01-01,2026-12-31
沧州日报,n.D130900cangzhrb,CN13-0013,日刊,河北,2007-01-01,2026-12-31
廊坊日报,n.D131000langfrb,CN13-0011,一周多刊,河北,2007-01-01,2026-12-31
山西日报,n.D140100shanxirb,CN14-0001,日刊,山西,2007-01-01,2026-12-31
太原日报,n.D140100taiyrb,CN14-0017,日刊,山西,2007-01-01,2026-12-31
太行日报,n.D140500taihrb,CN14-0022,日刊,山西,2007-01-01,2026-12-31
呼和浩特日报,n.D150100huhehtrb,CN15-0073,一周多刊,内蒙,2007-01-01,2026-12-31
内蒙古日报,n.D150100nmgrb,CN15-0002,日刊,内蒙,2007-01-01,2026-12-31
包头日报,n.D150200baotourb,CN15-0023,日刊,内蒙,2007-01-01,2026-12-31
赤峰日报,n.D150400chifrb,CN15-0008,日刊,内蒙,2007-01-01,2026-12-31
鄂尔多斯日报,n.D150600eedsrb,CN15-0014,日刊,内蒙,2007-01-01,2026-12-31
沈阳日报,n.D210100shenyrb,CN21-0003,日刊,辽宁,2007-01-01,2026-12-31
大连日报,n.D210200dalrb,CN21-0004,日刊,辽宁,2007-01-01,2026-12-31
抚顺日报,n.D210400fsrb,CN21-0010,一周多刊,辽宁,2007-01-01,2026-12-31
营口日报,n.D210800ykrb,CN21-0005,日刊,辽宁,2007-01-01,2026-12-31
盘锦日报,n.D211100pjrb,CN21-0013,一周多刊,辽宁,2007-01-01,2026-12-31
长春日报,n.D220100cchunrb,CN22-0005,日刊,吉林,2007-01-01,2026-12-31
吉林日报,n.D220100jilrb,CN22-0001,日刊,吉林,2007-01-01,2026-12-31
江城日报,n.D220200jcrb,CN22-0006,日刊,吉林,2007-01-01,2026-12-31
四平日报,n.D220300siprib,CN22-0009,日刊,吉林,2007-01-01,2026-12-31
辽源日报,n.D220400liaoyuanrb,CN22-0010,日刊,吉林,2007-01-01,2026-12-31
通化日报,n.D220500thuarb,CN22-0023,日刊,吉林,2007-01-01,2026-12-31
白城日报,n.D220800bcrb,CN22-0013,周刊,吉林,2007-01-01,2026-12-31
大兴安岭日报,n.D230100dxalrb,CN23-0007,日刊,黑龙江,2007-01-01,2026-12-31
哈尔滨日报,n.D230100hebrb,CN23-0002,日刊,黑龙江,2007-01-01,2026-12-31
黑龙江日报,n.D230100hljrb,CN23-0001,日刊,黑龙江,2007-01-01,2026-12-31
大庆日报,n.D230600daqrb,CN23-0008,日刊,黑龙江,2007-01-01,2026-12-31
七台河日报,n.D230900qitherb,CN23-0012,一周多刊,黑龙江,2007-01-01,2026-12-31
南京日报,n.D320100njrb,CN32-0030,日刊,江苏,2007-01-01,2026-12-31
新华日报,n.D320100xinhuarb,CN32-0050,日刊,江苏,2007-01-01,2026-12-31
宜兴日报,n.D320200yxrb,CN32-0009,一周多刊,江苏,2007-01-01,2026-12-31
徐州日报,n.D320300xzrb,CN32-0051,日刊,江苏,2007-01-01,2026-12-31
常熟日报,n.D320400chsrb,CN32-0037,一周多刊,江苏,2007-01-01,2026-12-31
常州日报,n.D320400czrb,CN32-0012,日刊,江苏,2007-01-01,2026-12-31
武进日报,n.D320400wjrb,CN32-0116,一周多刊,江苏,2007-01-01,2026-12-31
吴江日报,n.D320500wujrb,CN32-0124,一周多刊,江苏,2007-01-01,2026-12-31
张家港日报,n.D320500zjgrb,CN32-0109,一周多刊,江苏,2007-01-01,2026-12-31
南通日报,n.D320600ntrb,CN32-0025,日刊,江苏,2007-01-01,2026-12-31
连云港日报,n.D320700lygrb,CN32-0041,日刊,江苏,2007-01-01,2026-12-31
淮安日报,n.D320800harb,CN32-0046,日刊,江苏,2007-01-01,2026-12-31
盐阜大众报,n.D320900yfdzb,CN32-0047,日刊,江苏,2007-01-01,2026-12-31
扬州日报,n.D321000yangzrb,CN32-0023,日刊,江苏,2007-01-01,2026-12-31
镇江日报,n.D321100zhenjrb,CN32-0015,日刊,江苏,2007-01-01,2026-12-31
宿迁日报,n.D321300suqrb,CN32-0071,日刊,江苏,2007-01-01,2026-12-31
海宁日报,n.D330100hainingrb,CN33-0047,,浙江,2007-01-01,2026-12-31
杭州日报,n.D330100hzrb,CN33-0002,日刊,浙江,1955-11-01,2026-12-31
乐清日报,n.D330100leqrb,CN33-0103,,浙江,2007-01-01,2026-12-31
浙江日报,n.D330100zjrb,CN33-0001,日刊,浙江,1949-01-01,2026-12-31
宁波日报,n.D330200ningborb,CN33-0003,日刊,浙江,2007-01-01,2026-12-31
温岭日报,n.D330300wenlrb,CN33-0106,一周多刊,浙江,2007-01-01,2026-12-31
嘉兴日报,n.D330400jxrb,CN33-0010,日刊,浙江,2007-01-01,2026-12-31
柯桥日报,n.D330600kqrb,CN33-0112,,浙江,2007-01-01,2026-12-31
绍兴日报,n.D330600sxrb,CN33-0006,日刊,浙江,2007-01-01,2026-12-31
上虞日报,n.D330600sxsyrb,CN33-0080,,浙江,2007-01-01,2026-12-31
金华日报,n.D330700jinhrb,CN33-0005,日刊,浙江,2007-01-01,2026-12-31
台州日报,n.D331000tzrb,CN33-0009,日刊,浙江,2007-01-01,2026-12-31
丽水日报,n.D331100lishuirb,CN33-0012,日刊,浙江,2007-01-01,2026-12-31
安徽日报,n.D340100anhuirb,CN34-0001,日刊,安徽,2007-01-01,2026-12-31
合肥日报,n.D340100hefeirb,,日刊,安徽,2007-01-01,2026-12-31
芜湖日报,n.D340200wuhrb,CN34-0004,日刊,安徽,2007-01-01,2026-12-31
马鞍山日报,n.D340500masrb,CN34-0007,日刊,安徽,2007-01-01,2026-12-31
铜陵日报,n.D340700tlrb,CN34-0008,一周多刊,安徽,2007-01-01,2026-12-31
安庆日报,n.D340800aqrb,CN34-0005,日刊,安徽,2007-01-01,2026-12-31
滁州日报,n.D341100chuzrb,CN34-0012,一周多刊,安徽,2007-01-01,2026-12-31
池州日报,n.D341700chizrb,CN34-0018,日刊,安徽,2007-01-01,2026-12-31
宣城日报,n.D341800xcrb,CN34-0015,一周多刊,安徽,2007-01-01,2026-12-31
福建日报,n.D350100fjrb,CN35-0001,日刊,福建,2007-01-01,2026-12-31
福州日报,n.D350100fuzhrib,CN35-0065,日刊,福建,2007-01-01,2026-12-31
石狮日报,n.D350100ssrb,CN35-0063,日刊,福建,2007-01-01,2026-12-31
闽南日报,n.D350600minnanrb,CN35-0017,日刊,福建,2007-01-01,2026-12-31
江西日报,n.D360100jiangxirb,CN36-0001,日刊,江西,2007-01-01,2026-12-31
南昌日报,n.D360100nanchangrb,CN36-0002,日刊,江西,2007-01-01,2026-12-31
赣南日报,n.D360700gnrb,CN36-0003,日刊,江西,2007-01-01,2026-12-31
上饶日报,n.D361100srrb,CN36-0006,一周多刊,江西,2007-01-01,2026-12-31
青岛日报,n.D370200qdrb,CN37-0029,日刊,山东,2007-01-01,2026-12-31
河南日报,n.D410100henanrb,CN41-0001,日刊,河南,2007-01-01,2026-12-31
郑州日报,n.D410100zzrb,CN41-0048,日刊,河南,2007-01-01,2026-12-31
洛阳日报,n.D410300lyrb,CN41-0004,一周多刊,河南,2007-01-01,2026-12-31
安阳日报,n.D410500anyrb,CN41-0008,日刊,河南,2007-01-01,2026-12-31
鹤壁日报,n.D410600hbrb,CN41-0009,一周多刊,河南,2007-01-01,2026-12-31
焦作日报,n.D410800jzrb,CN41-0007,一周多刊,河南,2007-01-01,2026-12-31
三门峡日报,n.D411200smxrb,CN41-0011,一周多刊,河南,2007-01-01,2026-12-31
南阳日报,n.D411300nyrb,CN41-0016,一周多刊,河南,2007-01-01,2026-12-31
商丘日报,n.D411400sqrb,CN41-0012,日刊,河南,2007-01-01,2026-12-31
周口日报,n.D411600zhoukourb,CN41-0049,一周多刊,河南,2007-01-01,2026-12-31
长江日报,n.D420100changjrb,CN42-0002,日刊,湖北,2007-01-01,2026-12-31
荆门日报,n.D420800jingmrb,CN42-0029,日刊,湖北,2007-01-01,2026-12-31
荆州日报,n.D421000jingzhourb,CN42-0044,日刊,湖北,2007-01-01,2026-12-31
黄冈日报,n.D421100hgrb,CN42-0037,日刊,湖北,2007-01-01,2026-12-31
咸宁日报,n.D421200xianningrb,CN42-0039,日刊,湖北,2007-01-01,2026-12-31
恩施日报,n.D422800enshirb,CN42-0052,日刊,湖北,2007-01-01,2026-12-31
湖南日报,n.D430100hunrb,CN43-0001,日刊,湖南,2007-01-01,2026-12-31
株洲日报,n.D430200zhuzhourb,CN43-0005,日刊,湖南,2007-01-01,2026-12-31
衡阳日报,n.D430400hengyrb,CN43-0004,日刊,湖南,2007-01-01,2026-12-31
常德日报,n.D430700chdrb,CN43-0038,日刊,湖南,2007-01-01,2026-12-31
番禺日报,n.D440100fyrb,CN44-0011,日刊,广东,2007-01-01,2026-12-31
广州日报,n.D440100guangzrb,CN44-0010,日刊,广东,2007-01-01,2026-12-31
南方日报,n.D440100nanfrb,CN44-0001,日刊,广东,2007-01-01,2026-12-31
汕头日报,n.D440100shantourb,CN44-0060,日刊,广东,2007-01-01,2026-12-31
增城日报,n.D440100zengchengrb,CN44-0007,日刊,广东,2007-01-01,2026-12-31
江门日报,n.D440700jmrb,CN44-0044,日刊,广东,2007-01-01,2026-12-31
湛江日报,n.D440800zhanjrb,CN44-0035,日刊,广东,2007-01-01,2026-12-31
东莞日报,n.D441900dgrb,CN44-0057,日刊,广东,2007-01-01,2026-12-31
中山日报,n.D442000zhshrb,CN44-0126,日刊,广东,2007-01-01,2026-12-31
潮州日报,n.D445100chaozrb,CN44-0127,日刊,广东,2007-01-01,2026-12-31
广西日报,n.D450100gxrb,CN45-0001,日刊,广西,2007-01-01,2026-12-31
桂林日报,n.D450300glrb,CN45-0004,日刊,广西,2007-01-01,2026-12-31
梧州日报,n.D450400wuzhrb,CN45-0005,日刊,广西,2007-01-01,2026-12-31
右江日报,n.D451000yjrb,CN45-0007,日刊,广西,2007-01-01,2026-12-31
河池日报,n.D451200hcrb,CN45-0008,一周多刊,广西,2007-01-01,2026-12-31
海口日报,n.D460100haikouwb,CN46-0007,日刊,海南,2007-01-01,2026-12-31
海南日报,n.D460100hainanrb,CN46-0001,日刊,海南,2007-01-01,2026-12-31
成都日报,n.D510100chengdurb,CN51-0004,日刊,四川,2007-01-01,2026-12-31
攀枝花日报,n.D510400scpzhrb,CN51-0008,日刊,四川,2007-01-01,2026-12-31
泸州日报,n.D510500sclzrb,CN51-0009,一周多刊,四川,2007-01-01,2026-12-31
德阳日报,n.D510600dyrb,CN51-0010,一周多刊,四川,2007-01-01,2026-12-31
绵阳日报,n.D510700myrb,CN51-0088,日刊,四川,2007-01-01,2026-12-31
乐山日报,n.D511100sclsrb,CN51-0011,日刊,四川,2007-01-01,2026-12-31
南充日报,n.D511300scncrb,CN51-0014,一周多刊,四川,2007-01-01,2026-12-31
眉山日报,n.D511400scmsrb,CN51-0111,一周多刊,四川,2007-01-01,2026-12-31
宜宾日报,n.D511500scybrb,CN51-0092,日刊,四川,2007-01-01,2026-12-31
甘孜日报,n.D513300gzrb,CN51-0018,日刊,四川,2007-01-01,2026-12-31
凉山日报,n.D513400lsrb,CN51-0020,日刊,四川,2007-01-01,2026-12-31
贵阳日报,n.D520100gyrb,CN52-0032,日刊,贵州,2007-01-01,2026-12-31
遵义日报,n.D520300zunyirb,CN52-0022,日刊,贵州,2007-01-01,2026-12-31
安顺日报,n.D520400anshrb,CN52-0029,一周多刊,贵州,2007-01-01,2026-12-31
毕节日报,n.D522400bijrb,CN52-0018,一周多刊,贵州,2007-01-01,2026-12-31
黔东南日报,n.D522600qdnrb,CN52-0017,一周多刊,贵州,2007-01-01,2026-12-31
黔南日报,n.D522700qnrb,CN52-0019,日刊,贵州,2007-01-01,2026-12-31
云南日报,n.D530100yunnanrb,CN53-0001,日刊,云南,2007-01-01,2026-12-31
昭通日报,n.D530600ztrb,CN53-0003,日刊,云南,2007-01-01,2026-12-31
文山日报,n.D532600wsrb,CN53-0007,日刊,云南,2007-01-01,2026-12-31
大理日报,n.D532900dalirb,CN53-0011,一周多刊,云南,2007-01-01,2026-12-31
西藏日报,n.D540100xizangrb,CN54-0002,日刊,西藏,2007-01-01,2026-12-31
西安日报,n.D610100xarb,CN61-0058,日刊,陕西,2007-01-01,2026-12-31
安康日报,n.D610900akrb,CN61-0009,日刊,陕西,2007-01-01,2026-12-31
甘肃日报,n.D620100gsrb,CN62-0001,日刊,甘肃,2007-01-01,2026-12-31
兰州日报,n.D620100lanzrb,CN62-0059,日刊,甘肃,2007-01-01,2026-12-31
金昌日报,n.D620300jinchangrb,CN62-0008,一周多刊,甘肃,2007-01-01,2026-12-31
陇南日报,n.D621200longnanrb,CN62-0014,日刊,甘肃,2007-01-01,2026-12-31
